    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.579544727,      0.4921452621,       1.024478063,       3.844295378,       1.747194124,       2.881417571
      -1.758070735,      0.6263453592,       1.556005134,       3.750147926,        1.96429812,       3.189168939
      -1.179298654,       1.164138886,       1.573364294,       4.291570256,       2.213909452,         3.2449459
      -1.217595751,      0.8946797249,        1.84547311,       4.257859283,       2.307206937,       3.221707009
      -1.389168956,      0.9674080337,       1.637896539,       4.204766248,       2.418744753,       3.377951931
      -1.212759453,      0.9471802285,       1.993653104,       4.081589023,       2.341905369,       3.267668324
      -1.103396011,       1.316841205,       1.603277154,         4.3756166,       2.540823363,       3.476544725
      -1.001933397,      0.9329406818,       1.945389643,       4.356705418,       2.363612888,       3.168827374
      -1.250652436,      0.9789923845,       1.454506434,       4.110293041,       2.273821048,       3.071833855
      -1.388600693,       0.756573341,       1.299460412,       4.068471274,       2.222758341,       3.024722592
      -1.302768294,      0.6320939011,       1.688075063,       4.124210125,       2.307087188,       3.202845452
      -1.076412002,       1.107557718,       1.699896293,       4.409813413,       2.302556882,       3.276562271
      -1.136842276,      0.6339508092,       1.877640965,       4.296854287,       2.496111834,       3.310149521
      -1.130254308,       1.084416834,       1.774474938,       4.382121084,       2.609924499,       3.416651022
      -1.095536075,        1.11007051,       2.003025325,       4.387217867,       2.909939527,       3.635534739
       -1.21037326,       1.294943566,        1.77280366,        4.42379237,       2.689545343,       3.379511362
      -1.291724772,       1.054677495,       2.050877995,       4.187166214,       2.720676291,       3.536126875
      -1.183644725,       1.184227931,       1.696271536,       4.408537511,       2.777628632,       3.626478563
      -1.208194482,      0.6620395314,       2.076178898,       3.989703542,       2.426022868,       3.268699574
      -1.213170106,       1.040388846,       1.483193694,       4.290553991,       2.734976265,       3.598886447
      -1.015283452,      0.9210868624,       2.066186065,       4.374390952,       2.481162374,       3.205698172
      -1.343677515,      0.7168470847,       1.701824963,       4.139825005,       2.759328816,       3.576469211
      -1.026024945,      0.7788345447,       2.049479786,       4.369177207,       2.564385446,       3.313057234
      -1.116980932,      0.9391689597,        1.40412246,        4.33547084,       2.642368388,       3.458792223
