"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         252,      -4.091022139,      -1.629300579,      -1.718131319,       1.357883695,      -8.226815902
          0,           0,         253,      -4.089490231,       -1.62631232,      -1.717558652,       1.359095019,      -8.223274233
          0,           0,         254,      -4.087602971,      -1.622179577,       -1.71599741,       1.360576542,      -8.219594891
          0,           0,         255,      -4.085394832,      -1.617050402,      -1.713188908,       1.362297297,      -8.215729716
          0,           0,         256,      -4.082984733,       -1.61098199,      -1.708985425,       1.364151757,      -8.211734156
          0,           0,         257,      -4.080444175,      -1.604064036,      -1.703353069,       1.366078207,      -8.207556546
          0,           0,         258,      -4.077894297,       -1.59652986,      -1.696379102,       1.367984811,      -8.203342651
          0,           0,         259,      -4.075333848,      -1.588568161,      -1.688148427,       1.369898502,        -8.1991607
          0,           0,         260,      -4.072895636,      -1.580512319,      -1.678801834,       1.371710369,      -8.195118878
          0,           0,         261,      -4.070558219,      -1.572428548,      -1.668716305,       1.373473489,      -8.191176388
          0,           0,         262,      -4.068409155,      -1.564593429,      -1.658155607,       1.375115955,      -8.187366372
          0,           0,         263,      -4.066221422,      -1.557285419,      -1.647321792,       1.376886364,      -8.183760773
          0,           0,         264,      -4.064335041,      -1.550626585,      -1.636483562,       1.378469334,      -8.180396277
          0,           0,         265,      -4.062743406,       -1.54479337,       -1.62587644,       1.379898789,      -8.177298174
          0,           0,         266,      -4.061414664,      -1.539951458,      -1.615736655,       1.381229758,      -8.174519349
          0,           0,         267,      -4.060323503,      -1.536226572,      -1.606287591,       1.382502224,      -8.172094325
          0,           0,         268,      -4.059408177,      -1.533758822,      -1.597777759,       1.383784366,      -8.170053788
          0,           0,         269,      -4.058716396,      -1.532565301,      -1.590276058,       1.385040247,      -8.168341761
          0,           0,         270,      -4.058101564,      -1.532784381,      -1.583971631,       1.386418284,       -8.16703109
          0,           0,         271,      -4.057762953,      -1.534349107,      -1.578755701,       1.387704738,      -8.166037502
          0,           0,         272,      -4.057525622,      -1.537404246,      -1.574840086,       1.389065455,      -8.165252104
          0,           0,         273,      -4.057356248,      -1.541969094,      -1.572319225,       1.390517908,      -8.164633627
          0,           0,         274,       -4.05746203,      -1.547886209,      -1.570870068,        1.39182146,      -8.164104623
          0,           0,         275,      -4.057525292,      -1.555548034,      -1.571275946,       1.393288441,      -8.163600847
          0,           0,         276,      -4.057937814,      -1.564573527,      -1.572876025,       1.394472573,      -8.163145027
          0,           0,         277,      -4.058456172,      -1.575047363,      -1.575941903,       1.395600489,      -8.162748154
          0,           0,         278,      -4.059240209,      -1.586744765,      -1.580177442,       1.396475693,      -8.162427547
          0,           0,         279,      -4.060252616,      -1.599730831,      -1.585762703,       1.397121095,      -8.162143777
          0,           0,         280,      -4.061549226,      -1.613806169,      -1.592427358,       1.397440757,      -8.161859982
          0,           0,         281,       -4.06302259,      -1.628659195,      -1.600068777,       1.397538015,      -8.161538648
          0,           0,         282,       -4.06481236,      -1.644294056,      -1.609064815,       1.397260724,      -8.161202647
